,Numbers and their operations,Ratio and proportion,Percentage,Rate and speed,Algebraic,expressions and formulae,Functions and graphs,Equations and inequalities,Matrices,Set language and notation,"Angles, triangles and polygons",Congruence and similarity,Properties of circles,Pythagoras' theorem and trigonometry,Mensuration,Coordinate geometry,Vectors in two dimensions,Data handling and analysis,Probability,Student_id,Result
310,4,4,1,4,3,2,3,4,1,1,1,3,2,2,1,4,2,1,2,311,45
311,1,4,2,1,3,2,4,3,4,3,3,1,2,4,5,3,3,5,4,312,57
312,4,3,3,4,3,4,3,1,4,2,3,4,3,2,4,1,4,4,3,313,59
313,3,1,2,4,3,3,2,2,2,3,3,4,3,3,1,5,3,2,2,314,51
314,3,2,1,4,4,4,2,4,4,2,2,3,4,3,3,4,4,2,2,315,57
315,2,4,1,1,3,3,2,1,2,4,2,4,1,2,4,4,1,4,5,316,50
316,3,3,4,4,4,4,2,4,1,2,1,3,1,3,3,5,5,3,2,317,57
317,4,4,3,1,3,4,2,4,1,2,4,4,2,1,2,3,4,3,3,318,54
318,3,4,1,2,3,4,1,1,1,3,2,1,2,4,4,3,5,3,2,319,49
319,4,1,3,1,2,1,3,2,4,4,3,2,2,2,2,1,4,2,1,320,44
320,1,3,2,1,1,2,4,2,1,4,4,3,2,4,2,3,3,2,5,321,49
321,3,2,3,2,2,4,4,4,2,3,4,2,1,1,5,3,2,3,5,322,55
322,1,1,1,4,1,2,4,1,3,2,1,2,1,2,1,1,5,4,3,323,40
323,4,3,3,1,2,4,4,1,1,3,3,2,4,2,4,5,1,5,2,324,54
324,3,3,2,4,2,4,1,3,3,4,1,3,3,1,3,5,5,3,5,325,58
325,3,2,4,4,4,3,1,1,1,3,3,1,2,3,5,2,2,5,2,326,51
326,2,1,4,4,4,1,3,1,3,1,2,4,2,4,5,2,4,4,5,327,56
327,1,2,1,2,4,1,1,1,2,2,3,2,1,3,2,4,2,1,5,328,40
328,4,3,4,3,4,1,2,1,4,4,4,2,3,1,2,5,5,3,5,329,60
329,1,3,2,3,3,3,4,1,2,4,2,4,4,2,2,2,1,3,1,330,47
330,4,1,1,1,4,4,1,2,2,3,4,2,1,3,2,3,2,2,2,331,44
331,2,4,4,2,4,3,1,3,1,4,4,3,3,3,1,3,4,4,2,332,55
332,4,2,3,4,1,3,2,1,3,2,4,4,1,3,3,5,5,3,4,333,57
333,1,2,2,2,3,1,4,1,4,3,2,1,2,3,4,1,5,3,1,334,45
334,2,2,2,4,3,3,4,2,4,1,4,1,1,3,1,4,3,1,1,335,46
335,4,3,1,3,3,3,1,4,1,3,3,4,4,4,5,1,4,1,2,336,54
336,2,3,2,1,2,3,3,4,4,1,2,2,4,3,2,1,4,5,3,337,51
337,2,1,1,3,3,1,1,3,4,2,4,2,4,2,2,5,2,3,2,338,47
338,2,3,1,1,3,1,1,4,4,4,2,3,3,2,1,5,4,3,2,339,49
339,4,4,2,3,4,3,4,1,2,2,4,1,1,2,5,3,5,1,3,340,54
340,2,1,2,1,4,3,4,2,3,4,2,3,2,1,2,5,1,3,2,341,47
341,1,2,1,4,1,1,4,3,4,4,1,3,1,4,4,5,1,3,5,342,52
342,2,4,2,1,2,4,1,2,3,3,3,3,3,2,4,5,4,2,5,343,55
343,3,4,2,1,2,2,3,2,1,3,2,3,1,2,2,3,5,5,5,344,51
344,3,2,1,4,1,2,2,3,4,1,2,4,1,2,3,2,3,4,2,345,46
345,3,1,3,2,2,1,4,4,4,1,2,3,4,3,3,4,2,5,4,346,55
346,1,3,1,1,4,2,4,4,3,2,2,3,2,4,3,4,4,3,1,347,51
347,2,4,4,3,3,1,4,4,3,2,2,2,4,4,4,2,2,2,3,348,55
348,1,1,4,2,4,3,2,4,4,4,4,1,2,3,1,3,3,2,1,349,49
349,1,2,2,3,2,3,1,2,2,2,3,4,2,1,5,5,4,2,2,350,48
350,1,4,4,3,2,2,2,3,2,4,4,3,4,2,5,5,1,2,2,351,55
351,1,4,3,3,1,1,4,3,2,2,4,2,1,3,4,3,3,2,4,352,50
352,1,4,3,3,4,3,3,1,3,2,4,3,2,1,5,4,3,4,5,353,58
353,2,4,3,4,4,3,3,3,3,2,4,3,4,4,4,1,2,5,4,354,62
354,1,3,1,4,3,1,4,2,2,4,4,3,4,3,5,1,3,4,3,355,55
355,1,1,3,4,3,2,3,2,4,2,3,2,2,2,4,4,3,3,2,356,50
356,2,2,2,1,1,2,1,2,3,3,3,1,3,2,2,3,5,2,1,357,41
357,4,4,4,4,3,3,2,2,3,4,2,4,4,4,5,3,4,2,4,358,65
358,3,2,3,2,1,3,3,2,1,2,1,2,3,2,3,2,4,2,4,359,45
359,1,3,3,3,4,2,4,1,4,4,1,4,2,3,1,2,4,2,1,360,49
360,1,1,1,2,3,2,3,4,4,2,1,3,4,3,3,1,4,5,5,361,52
361,1,3,3,3,3,1,3,1,1,4,1,1,3,1,2,3,2,1,2,362,39
362,3,3,1,1,2,3,3,2,3,1,4,3,1,1,2,1,5,5,4,363,48
363,1,3,2,2,4,4,4,1,2,2,3,1,3,2,4,3,1,4,2,364,48
364,4,2,1,3,4,3,3,2,2,4,4,3,4,3,5,2,2,1,2,365,54
365,4,1,2,3,2,3,4,3,3,3,2,1,3,2,4,4,3,3,1,366,51
366,3,4,2,1,2,4,4,2,3,2,4,2,3,2,3,1,2,2,2,367,48
367,2,4,1,3,3,3,1,2,2,4,3,3,2,4,3,1,3,5,4,368,53
368,3,4,1,2,1,3,3,2,2,2,4,1,1,1,5,4,1,3,1,369,44
369,4,2,2,3,2,3,3,4,3,4,3,1,2,1,4,2,3,5,3,370,54
370,1,1,2,1,3,3,4,2,3,2,4,2,3,2,4,2,3,1,3,371,46
371,1,4,3,3,4,1,1,3,3,3,2,4,4,2,1,3,2,1,3,372,48
372,4,4,2,4,3,2,1,1,3,2,4,1,3,2,1,3,5,1,3,373,49
373,2,2,1,3,2,1,4,4,1,1,4,2,1,4,3,5,5,4,3,374,52
374,1,3,2,1,4,4,3,1,1,3,1,1,1,2,3,1,1,5,4,375,42
375,1,1,4,3,3,4,4,4,4,3,2,3,2,1,3,1,1,5,4,376,53
376,2,4,4,4,1,2,1,4,2,2,1,1,2,4,4,5,4,4,4,377,55
377,2,1,2,3,4,1,4,2,2,2,4,2,4,3,3,4,3,4,1,378,51
378,3,4,1,1,2,2,3,1,2,2,4,4,2,3,2,2,5,1,5,379,49
379,4,1,3,1,3,3,1,4,4,4,4,1,2,3,2,4,2,5,3,380,54
380,4,1,2,3,4,4,1,3,3,2,1,2,2,1,1,5,1,2,4,381,46
381,1,2,4,1,2,3,1,2,1,3,1,1,2,1,1,3,3,4,2,382,38
382,3,1,2,1,3,3,3,4,1,2,3,1,4,1,1,3,2,4,4,383,46
383,4,2,2,4,4,4,1,1,4,2,2,3,4,4,4,5,4,3,1,384,58
384,1,2,4,2,4,3,4,2,1,3,2,3,2,3,5,5,1,3,4,385,54
385,2,4,3,3,1,1,1,4,4,3,1,4,2,3,1,3,5,2,1,386,48
386,1,3,1,1,3,2,2,4,2,2,3,4,1,3,5,4,1,1,5,387,48
387,2,4,3,4,2,4,1,2,3,4,2,4,4,2,4,2,3,5,5,388,60
388,1,1,4,4,1,2,4,1,2,2,2,4,3,1,1,4,5,1,4,389,47
389,1,3,2,1,2,1,1,3,2,1,4,1,3,3,3,5,3,2,5,390,46
390,1,2,3,3,2,2,4,1,3,1,3,1,1,1,3,4,1,2,2,391,40
391,4,3,1,1,1,2,3,4,2,1,1,2,3,3,1,4,4,4,5,392,49
392,3,4,4,1,4,4,4,2,2,1,3,4,2,4,1,5,1,4,1,393,54
393,4,2,4,3,2,4,4,2,1,1,1,2,2,1,1,1,2,3,1,394,41
394,2,3,1,3,2,3,1,2,3,3,3,1,1,1,4,2,3,3,2,395,43
395,4,1,2,1,2,2,4,3,4,2,4,2,3,2,1,4,5,2,2,396,50
396,2,3,4,3,1,3,3,1,4,2,3,1,3,1,1,4,2,1,4,397,46
397,3,3,1,2,4,1,3,1,1,3,1,3,2,4,3,5,1,3,3,398,47
398,4,4,1,2,4,3,4,1,3,4,1,2,2,1,3,5,3,1,5,399,53
399,3,3,2,1,4,4,4,3,3,3,4,2,1,2,5,3,2,2,3,400,54
400,1,1,1,2,4,2,2,3,4,3,3,3,4,3,1,1,4,5,2,401,49
401,4,1,4,4,4,4,1,2,1,3,4,3,4,4,5,4,2,3,4,402,61
402,1,1,2,4,1,1,3,1,2,1,4,4,2,4,4,2,4,4,1,403,46
403,1,2,3,1,3,2,3,4,3,4,1,1,3,3,2,4,1,3,5,404,49
404,4,3,2,4,1,3,4,4,2,3,2,3,3,1,3,5,4,2,1,405,54
405,1,2,3,2,2,3,2,1,4,4,2,2,3,4,4,4,4,2,3,406,52
406,2,1,1,2,4,4,4,4,2,2,3,3,2,1,3,1,1,2,4,407,46
407,3,3,2,4,2,3,4,1,1,2,3,1,1,1,1,2,2,2,3,408,41
408,4,3,4,2,2,4,2,4,1,4,4,3,2,4,4,3,5,1,4,409,60
409,3,4,4,1,4,1,4,2,1,3,3,3,4,4,3,5,1,5,1,410,56
410,3,4,1,3,2,3,1,4,2,1,3,2,3,1,3,2,4,1,1,411,44
411,4,3,1,3,2,1,1,4,3,2,4,1,1,4,5,4,3,5,2,412,53
412,3,1,1,2,3,4,3,2,2,4,2,3,1,4,3,3,4,2,1,413,48
413,2,3,1,4,3,4,1,2,1,2,1,3,4,2,1,2,2,3,4,414,45
414,2,3,2,1,2,4,1,1,2,1,4,4,1,3,5,4,5,1,2,415,48
415,4,3,3,2,2,3,3,1,4,4,4,3,2,3,2,1,2,2,4,416,52
416,2,4,1,4,3,3,4,4,3,2,3,4,4,4,4,2,2,3,1,417,57
417,4,3,4,2,3,1,3,2,3,3,1,3,4,3,5,1,1,4,5,418,55
418,1,2,3,1,3,3,2,4,3,4,2,3,1,2,1,1,5,2,2,419,45
419,1,4,1,2,2,3,3,1,2,3,3,3,3,4,3,2,4,2,3,420,49
420,2,1,3,2,3,4,3,2,2,3,3,3,4,2,2,2,1,2,3,421,47
421,2,3,3,1,2,2,1,4,1,3,4,1,2,4,3,4,1,3,3,422,47
422,2,4,2,1,1,4,1,4,4,1,3,3,1,1,4,4,3,1,4,423,48
423,1,1,2,4,2,1,1,2,2,2,1,4,3,4,5,5,4,3,5,424,52
424,4,1,4,4,3,2,2,4,3,1,3,3,3,3,4,4,5,2,3,425,58
425,1,1,4,4,1,1,2,4,2,1,2,2,3,3,1,2,3,3,5,426,45
426,3,1,3,1,4,3,2,4,2,2,4,3,2,3,3,4,4,4,2,427,54
427,1,3,4,2,1,2,3,3,3,1,2,3,1,3,3,2,3,1,4,428,45
428,2,2,1,2,3,3,2,2,1,3,1,1,3,1,2,3,5,4,1,429,42
429,1,4,4,1,4,3,4,4,1,2,1,2,4,2,4,1,1,3,2,430,48
430,3,3,3,4,2,4,2,2,4,1,1,4,1,4,4,4,1,4,1,431,52
431,2,1,1,4,3,2,1,3,3,3,2,3,3,1,2,3,1,1,2,432,41
432,3,3,4,4,2,2,4,3,4,4,3,1,2,1,1,3,4,4,5,433,57
433,1,2,2,2,1,3,4,2,4,4,1,2,3,2,1,1,5,3,3,434,46
434,1,3,2,2,4,1,2,1,4,4,2,1,1,3,3,4,5,4,3,435,50
435,3,3,1,1,1,1,4,2,2,3,4,3,3,3,3,5,1,5,2,436,50
436,4,2,3,1,2,3,2,4,4,4,4,3,3,3,2,1,2,4,4,437,55
437,4,2,3,3,1,1,2,3,4,4,1,2,3,4,3,3,2,2,5,438,52
438,3,3,1,3,4,2,4,1,3,1,1,4,4,1,2,2,3,2,3,439,47
439,4,3,1,2,2,3,4,1,2,1,2,2,4,2,4,5,5,2,5,440,54
440,1,3,4,4,3,2,4,4,3,3,4,2,4,3,4,1,1,1,4,441,55
441,2,1,3,3,4,4,2,2,1,4,2,1,1,3,1,5,5,4,4,442,52
442,3,3,4,1,4,4,2,3,4,2,3,4,1,4,3,2,3,1,5,443,56
443,3,4,4,4,4,1,2,4,2,3,4,4,1,1,3,4,1,2,5,444,56
444,1,3,1,4,4,2,3,4,1,2,2,4,1,4,4,4,3,2,5,445,54
445,3,4,4,2,1,3,4,3,1,4,1,1,1,1,3,2,3,1,2,446,44
446,2,1,4,4,3,4,4,4,3,2,1,3,3,1,4,2,3,3,1,447,52
447,1,2,1,1,1,3,3,4,1,4,1,4,3,4,3,4,2,1,3,448,46
448,2,4,1,4,3,4,3,1,1,4,3,4,2,3,5,4,5,3,5,449,61
449,4,4,4,3,1,2,3,3,1,1,2,2,2,2,4,4,3,2,5,450,52
450,1,2,2,3,1,1,2,1,3,1,3,2,4,4,4,2,4,3,2,451,45
451,3,1,4,3,1,3,2,4,1,3,1,1,1,2,4,1,2,5,1,452,43
452,1,2,4,3,1,1,2,2,4,1,2,4,3,4,4,1,4,1,4,453,48
453,3,3,3,2,4,4,1,1,1,2,3,4,4,2,5,5,5,3,3,454,58
454,3,1,1,1,3,1,4,1,2,3,4,1,2,2,2,2,3,4,4,455,44
455,1,4,4,3,3,1,1,2,4,3,1,2,3,4,5,5,2,5,4,456,57
456,4,2,3,4,1,2,4,3,1,2,1,2,3,1,2,4,5,1,2,457,47
457,4,2,4,3,3,4,1,4,4,4,3,1,2,3,2,1,1,4,5,458,55
458,4,1,1,2,4,4,1,4,1,2,1,1,1,4,4,4,3,3,3,459,48
459,3,2,4,2,4,3,4,1,4,3,1,2,3,1,3,3,3,3,2,460,51
460,4,3,4,4,4,3,4,2,1,4,3,1,2,2,1,2,5,2,3,461,54
461,4,3,3,3,4,4,2,4,4,4,1,3,4,2,3,5,1,3,1,462,58
462,2,1,2,2,4,4,3,2,4,3,4,2,4,3,2,1,4,3,2,463,52
463,4,2,1,1,3,2,1,4,3,3,4,4,1,4,3,2,5,1,3,464,51
464,2,3,4,3,4,1,4,4,3,3,3,3,3,3,5,3,2,5,1,465,59
465,1,3,4,2,4,1,3,4,2,1,2,3,4,3,1,2,2,5,2,466,49
466,4,2,3,2,3,2,4,3,3,3,4,2,3,3,4,1,2,2,1,467,51
467,3,4,1,2,3,2,4,4,2,4,1,2,1,2,4,2,2,4,5,468,52
468,1,2,1,1,1,2,2,1,2,2,3,3,2,2,2,5,3,1,1,469,37
469,1,4,4,1,4,1,2,1,1,4,3,3,4,3,2,3,1,5,3,470,50
470,4,4,1,4,4,4,4,1,2,1,2,1,4,2,4,5,3,3,4,471,57
471,3,2,3,1,2,1,1,4,4,2,3,3,2,3,4,3,2,2,4,472,49
472,2,1,2,4,1,4,2,1,3,4,1,3,2,3,1,4,4,3,4,473,49
473,2,4,1,1,3,3,2,1,4,1,1,1,1,4,4,2,1,3,3,474,42
474,4,1,3,2,4,4,1,1,2,3,4,1,4,2,4,1,1,3,1,475,46
475,1,3,1,4,1,2,4,2,1,3,2,3,4,4,1,1,1,4,5,476,47
476,2,1,3,2,1,1,4,1,4,4,2,1,3,4,3,1,1,3,2,477,43
477,2,2,2,4,1,2,1,4,3,1,1,1,2,4,3,2,4,4,4,478,47
478,4,1,1,3,3,3,4,1,1,4,4,3,4,3,4,1,5,5,4,479,58
479,2,1,3,2,1,1,2,4,2,3,3,1,3,1,5,2,3,5,5,480,49
480,3,1,4,1,3,4,4,4,1,4,4,1,3,1,5,3,2,1,5,481,54
481,1,2,4,3,4,1,1,3,2,3,1,2,1,1,4,1,1,5,4,482,44
482,2,4,2,1,4,1,2,4,3,1,2,1,3,2,4,2,5,1,5,483,49
483,3,3,4,4,3,4,3,4,1,4,1,3,4,2,3,5,2,1,3,484,57
484,1,4,2,2,3,3,2,4,2,1,2,3,4,2,4,1,1,1,4,485,46
485,2,3,3,3,4,1,4,1,4,2,2,3,2,3,5,1,2,3,5,486,53
486,3,2,3,3,4,1,1,2,3,2,1,3,3,1,1,4,2,4,4,487,47
487,1,2,1,4,1,3,3,3,1,3,2,4,2,4,2,2,1,3,5,488,47
488,2,1,3,4,1,3,1,2,1,1,3,3,1,1,2,3,2,5,5,489,44
489,2,1,3,4,2,4,1,4,1,4,3,3,3,3,1,5,1,2,2,490,49
490,3,4,4,1,3,1,2,1,2,3,4,4,1,2,4,1,3,5,5,491,53
491,2,3,2,1,3,2,4,2,4,3,2,2,2,3,5,1,3,3,4,492,51
492,2,4,2,3,4,1,3,2,4,3,1,4,2,3,5,1,4,1,2,493,51
493,3,3,3,3,3,3,2,4,3,2,4,2,3,3,1,2,5,1,3,494,53
494,4,2,3,1,2,2,3,1,1,4,4,3,2,2,3,3,1,1,2,495,44
495,2,1,4,3,3,2,2,4,2,3,4,4,2,3,4,1,5,2,3,496,54
496,1,3,4,2,4,2,2,1,1,4,2,1,1,3,4,4,4,1,3,497,47
497,2,4,2,3,2,2,3,1,3,2,3,3,2,3,1,4,2,2,1,498,45
498,2,2,3,2,4,1,1,1,4,1,2,1,1,3,1,3,5,3,1,499,41
499,4,4,2,2,3,2,2,1,4,3,4,2,1,1,1,3,1,2,4,500,46
500,3,2,1,1,2,4,4,3,2,1,3,1,1,2,3,5,4,5,1,501,48
501,3,3,2,1,4,2,3,2,3,1,3,3,3,2,1,5,1,3,1,502,46
502,1,4,4,2,3,2,4,3,2,2,3,1,2,1,2,5,2,1,2,503,46
503,2,4,4,2,1,2,2,4,3,1,3,1,2,4,2,5,4,3,3,504,52
504,3,4,4,2,2,1,2,3,4,1,2,2,3,1,1,5,2,5,5,505,52
505,2,2,4,4,1,2,1,1,2,1,2,2,4,2,5,1,2,1,1,506,40
506,1,4,3,4,4,1,4,1,1,3,3,2,2,2,2,2,3,4,4,507,50
507,3,4,1,4,3,2,2,3,1,4,3,3,1,3,2,5,4,5,2,508,55
508,3,3,3,2,2,4,1,1,4,3,1,1,4,1,1,1,5,1,5,509,46
509,1,4,4,1,4,3,3,3,4,4,2,3,2,3,1,2,3,3,5,510,55
510,1,1,4,3,1,2,3,3,3,4,2,1,1,4,5,3,4,3,3,511,51
511,3,2,3,2,3,1,2,2,4,1,1,2,1,3,3,5,4,4,5,512,51
512,4,4,4,3,1,4,2,2,2,4,4,4,4,2,4,4,2,4,1,513,59
513,4,4,3,3,2,3,3,2,2,1,3,4,3,4,3,5,4,3,4,514,60
514,2,2,4,4,1,1,4,2,1,4,2,2,2,1,3,1,5,3,1,515,45
515,2,4,2,1,3,3,1,4,3,3,4,4,4,1,3,3,5,3,2,516,55
516,1,1,4,3,2,3,3,2,1,2,2,4,4,1,4,1,1,2,2,517,43
517,1,3,4,2,2,3,2,3,2,4,1,2,2,1,4,3,4,4,3,518,50
518,4,4,4,3,4,4,1,3,4,3,1,3,2,3,1,3,5,3,2,519,57
519,3,3,2,2,1,2,3,4,4,4,3,1,4,1,1,5,1,1,4,520,49
520,2,4,3,1,3,4,2,2,1,2,2,4,1,3,4,4,4,5,1,521,52
521,3,1,4,2,2,2,4,1,3,3,1,3,3,1,2,4,2,4,1,522,46
522,1,4,2,4,4,1,2,3,2,2,3,3,3,2,4,5,5,5,5,523,60
523,3,3,4,4,3,3,1,1,1,3,3,1,2,3,1,2,2,5,4,524,49
524,1,3,3,4,1,4,4,3,1,2,3,4,1,1,1,5,3,2,4,525,50
525,2,4,4,4,2,1,4,2,4,1,1,2,2,1,2,5,5,4,1,526,51
526,2,2,3,2,1,2,3,3,4,1,2,2,3,3,2,2,3,1,5,527,46
527,4,3,2,4,2,1,1,3,2,4,1,2,4,4,2,2,3,3,1,528,48
528,3,1,4,3,1,1,1,4,4,4,4,1,3,4,2,2,5,5,3,529,55
529,2,1,1,2,2,2,4,2,3,2,3,4,2,2,3,4,2,1,5,530,47
530,2,1,4,3,4,2,1,1,4,4,2,1,1,4,1,3,2,2,3,531,45
531,2,3,4,4,4,4,4,1,3,2,4,3,3,4,1,3,2,3,5,532,59
532,2,3,1,2,3,3,3,2,3,1,4,3,3,2,2,4,5,2,2,533,50
533,2,2,3,4,1,1,1,1,4,3,2,2,1,1,1,1,2,3,2,534,37
534,1,4,4,1,2,4,1,2,1,3,3,2,4,2,5,1,1,5,2,535,48
535,2,1,1,1,3,1,3,4,2,3,3,2,1,2,3,1,3,1,3,536,40
536,1,2,1,3,1,4,2,1,1,2,1,2,1,4,3,1,5,5,3,537,43
537,2,2,3,2,4,4,2,2,3,2,3,4,1,3,1,1,5,4,4,538,52
538,3,2,1,3,4,3,4,1,2,1,3,1,1,2,1,4,4,1,1,539,42
539,1,3,3,3,3,4,2,4,2,2,3,2,1,3,5,4,4,1,5,540,55
540,1,3,1,1,4,4,4,3,4,4,4,3,2,4,1,5,4,3,1,541,56
541,3,3,2,2,2,4,1,2,2,2,2,4,3,1,1,2,4,4,4,542,48
542,1,4,4,2,2,3,4,4,1,3,1,4,3,3,2,3,4,2,2,543,52
543,2,2,1,2,4,1,4,2,1,2,2,1,4,3,3,5,4,5,3,544,51
544,2,3,4,3,3,1,4,1,1,4,3,3,3,4,1,5,5,4,4,545,58
545,4,1,1,1,2,3,3,4,3,4,1,3,4,2,3,5,3,1,3,546,51
546,2,1,4,4,4,4,2,4,4,2,4,4,3,3,4,4,4,5,5,547,67
547,3,3,1,4,3,4,3,3,4,2,4,2,3,1,3,5,1,5,3,548,57
548,1,2,4,1,3,2,3,4,1,2,4,3,1,2,3,1,3,1,1,549,42
549,1,4,1,4,3,2,4,3,3,3,1,1,1,1,3,5,4,1,3,550,48
550,3,1,2,1,1,2,2,2,1,3,1,3,2,1,3,2,4,2,5,551,41
551,3,1,3,4,1,2,1,1,4,4,4,4,1,4,4,5,1,1,1,552,49
552,1,2,2,2,2,2,2,3,2,4,4,1,1,4,5,1,5,4,2,553,49
553,4,3,4,1,3,1,4,2,3,4,3,2,3,2,5,5,1,4,1,554,55
554,4,2,2,4,4,1,3,4,2,2,2,3,3,2,1,1,5,5,2,555,52
555,3,3,4,4,1,4,1,2,1,2,4,3,2,1,1,5,4,5,4,556,54
556,1,2,4,3,1,1,1,1,2,3,4,2,3,2,1,4,5,3,4,557,47
557,3,2,4,3,3,2,1,1,2,4,4,4,1,2,5,2,3,3,1,558,50
558,4,3,4,1,3,4,1,4,1,3,4,2,1,2,2,5,2,2,3,559,51
559,3,1,2,3,3,1,2,3,1,3,3,2,1,4,1,4,4,1,3,560,45
560,3,2,4,1,4,3,3,1,3,3,4,3,3,1,2,1,5,5,2,561,53
561,2,2,2,2,4,4,4,1,2,2,2,3,4,2,2,2,3,3,3,562,49
562,4,3,4,3,2,3,2,3,4,4,3,2,1,1,1,4,5,1,5,563,55
563,1,3,1,2,3,4,1,3,2,4,4,4,2,1,5,2,1,5,2,564,50
564,2,3,1,2,2,3,3,3,4,3,4,4,3,4,2,4,4,2,5,565,58
565,3,4,1,4,4,3,1,1,3,2,3,4,2,1,1,2,1,4,3,566,47
566,3,2,1,2,3,4,2,3,3,4,4,1,3,2,4,2,5,3,4,567,55
567,4,4,4,3,2,4,4,2,3,2,1,4,1,2,1,5,4,1,1,568,52
568,3,2,2,4,1,1,2,1,2,3,4,3,2,4,1,3,2,2,3,569,45
569,1,4,1,1,4,2,3,2,2,3,3,1,1,4,2,4,4,4,1,570,47
570,1,1,1,1,2,3,3,4,1,3,1,4,4,1,3,2,4,2,5,571,46
571,3,2,4,4,4,3,3,4,3,3,4,1,3,4,1,5,3,3,3,572,60
572,4,4,2,3,1,2,4,3,1,2,3,4,3,4,3,3,5,1,3,573,55
573,3,4,3,3,2,1,1,1,1,1,2,2,1,3,1,4,2,5,3,574,43
574,4,4,1,1,2,3,3,2,4,2,3,1,1,4,4,1,5,1,4,575,50
575,4,3,3,2,1,4,1,2,2,3,1,3,3,3,5,1,5,4,3,576,53
576,4,4,3,3,4,2,2,3,2,1,4,1,4,1,3,2,5,2,4,577,54
577,4,1,3,2,3,4,3,1,3,2,2,1,1,4,5,4,2,5,2,578,52
578,3,2,2,3,1,2,1,2,4,3,2,1,3,2,4,4,2,1,4,579,46
579,2,2,2,3,1,3,4,1,2,3,4,3,3,3,1,2,1,2,3,580,45
580,1,2,1,3,3,2,2,2,2,3,3,4,2,3,2,4,2,1,2,581,44
581,2,3,3,2,4,2,1,4,3,4,3,3,1,3,4,3,4,1,3,582,53
582,2,2,3,2,1,1,4,3,3,1,3,3,3,3,4,5,1,2,3,583,49
583,2,4,3,3,3,3,2,2,4,4,1,4,3,4,3,5,2,4,5,584,61
584,3,4,3,1,3,4,3,4,2,1,4,3,2,4,2,1,5,3,3,585,55
585,1,1,1,4,2,2,3,2,4,1,3,1,2,1,5,4,3,4,2,586,46
586,3,1,3,4,4,1,3,2,2,3,1,2,1,3,2,5,3,5,4,587,52
587,3,1,2,1,3,4,3,2,2,3,4,2,4,2,3,2,4,2,1,588,48
588,4,3,3,1,3,4,1,4,2,2,4,4,2,4,4,2,1,4,3,589,55
589,4,1,4,1,2,1,3,1,3,4,4,3,1,2,2,5,4,1,2,590,48
590,2,4,4,4,2,4,2,4,2,3,4,1,1,2,5,3,4,3,2,591,56
591,4,3,3,2,4,3,3,3,3,4,3,2,4,1,3,5,4,4,5,592,63
592,3,1,4,1,2,2,4,1,3,4,1,2,3,4,1,4,5,2,5,593,52
593,3,1,4,1,4,1,2,4,3,1,2,3,2,1,4,2,5,3,2,594,48
594,3,2,3,4,1,3,4,3,2,1,1,4,4,3,2,5,3,4,2,595,54
595,4,4,1,4,3,1,1,1,1,3,4,4,1,1,4,1,4,5,5,596,52
596,1,4,1,4,2,3,2,2,3,4,3,3,4,4,2,1,1,2,3,597,49
597,3,3,1,3,2,1,4,2,3,3,4,1,4,2,1,4,4,5,4,598,54
598,2,3,3,4,1,1,3,4,1,1,2,1,1,2,2,2,5,4,3,599,45
